;text;step1;tokens;final_tokens;step2
0;im feeling rather rotten so im not very ambitious right now;im feeling rather rotten so im not very ambitious right now;['im', 'feeling', 'rather', 'rotten', 'so', 'im', 'not', 'very', 'ambitious', 'right', 'now'];['im', 'feeling', 'rather', 'rotten', 'so', 'im', 'not', 'very', 'ambitious', 'right', 'now'];im feeling rather rotten so im not very ambitious right now
1;im updating my blog because i feel shitty;im updating my blog because feel shitty;['im', 'updating', 'my', 'blog', 'because', 'feel', 'shitty'];['im', 'updating', 'my', 'blog', 'because', 'feel', 'shitty'];im updating my blog because feel shitty
2;i never make her separate from me because i don t ever want her to feel like i m ashamed with her;never make her separate from me because don ever want her to feel like ashamed with her;['never', 'make', 'her', 'separate', 'from', 'me', 'because', 'don', 'ever', 'want', 'her', 'to', 'feel', 'like', 'ashamed', 'with', 'her'];['never', 'make', 'her', 'separate', 'from', 'me', 'because', 'don', 'ever', 'want', 'her', 'to', 'feel', 'like', 'ashamed', 'with', 'her'];never make her separate from me because don ever want her to feel like ashamed with her
3;i left with my bouquet of red and yellow tulips under my arm feeling slightly more optimistic than when i arrived;left with my bouquet of red and yellow tulips under my arm feeling slightly more optimistic than when arrived;['left', 'with', 'my', 'bouquet', 'of', 'red', 'and', 'yellow', 'tulips', 'under', 'my', 'arm', 'feeling', 'slightly', 'more', 'optimistic', 'than', 'when', 'arrived'];['left', 'with', 'my', 'bouquet', 'of', 'red', 'and', 'yellow', 'tulips', 'under', 'my', 'arm', 'feeling', 'slightly', 'more', 'optimistic', 'than', 'when', 'arrived'];left with my bouquet of red and yellow tulips under my arm feeling slightly more optimistic than when arrived
4;i was feeling a little vain when i did this one;was feeling little vain when did this one;['was', 'feeling', 'little', 'vain', 'when', 'did', 'this', 'one'];['was', 'feeling', 'little', 'vain', 'when', 'did', 'this', 'one'];was feeling little vain when did this one
5;i cant walk into a shop anywhere where i do not feel uncomfortable;cant walk into shop anywhere where do not feel uncomfortable;['cant', 'walk', 'into', 'shop', 'anywhere', 'where', 'do', 'not', 'feel', 'uncomfortable'];['cant', 'walk', 'into', 'shop', 'anywhere', 'where', 'do', 'not', 'feel', 'uncomfortable'];cant walk into shop anywhere where do not feel uncomfortable
6;i felt anger when at the end of a telephone call;felt anger when at the end of telephone call;['felt', 'anger', 'when', 'at', 'the', 'end', 'of', 'telephone', 'call'];['felt', 'anger', 'when', 'at', 'the', 'end', 'of', 'telephone', 'call'];felt anger when at the end of telephone call
7;i explain why i clung to a relationship with a boy who was in many ways immature and uncommitted despite the excitement i should have been feeling for getting accepted into the masters program at the university of virginia;why clung to relationship with boy who was in many ways immature and uncommitted despite the should have been feeling for getting accepted into the masters program at the university of virginia;['why', 'clung', 'to', 'relationship', 'with', 'boy', 'who', 'was', 'in', 'many', 'ways', 'immature', 'and', 'uncommitted', 'despite', 'the', 'should', 'have', 'been', 'feeling', 'for', 'getting', 'accepted', 'into', 'the', 'masters', 'program', 'at', 'the', 'university', 'of', 'virginia'];['why', 'clung', 'to', 'relationship', 'with', 'boy', 'who', 'was', 'in', 'many', 'ways', 'immature', 'and', 'uncommitted', 'despite', 'the', 'should', 'have', 'been', 'feeling', 'for', 'getting', 'accepted', 'into', 'the', 'masters', 'program', 'at', 'the', 'university', 'of', 'virginia'];why clung to relationship with boy who was in many ways immature and uncommitted despite the should have been feeling for getting accepted into the masters program at the university of virginia
8;i like to have the same breathless feeling as a reader eager to see what will happen next;like to have the same breathless feeling as reader eager to see what will happen ne;['like', 'to', 'have', 'the', 'same', 'breathless', 'feeling', 'as', 'reader', 'eager', 'to', 'see', 'what', 'will', 'happen', 'ne'];['like', 'to', 'have', 'the', 'same', 'breathless', 'feeling', 'as', 'reader', 'eager', 'to', 'see', 'what', 'will', 'happen', 'ne'];like to have the same breathless feeling as reader eager to see what will happen ne
9;i jest i feel grumpy tired and pre menstrual which i probably am but then again its only been a week and im about as fit as a walrus on vacation for the summer;jest feel grumpy tired and pre menstrual which probably am but then again its only been week and im about as fit as walrus on vacation for the summer;['jest', 'feel', 'grumpy', 'tired', 'and', 'pre', 'menstrual', 'which', 'probably', 'am', 'but', 'then', 'again', 'its', 'only', 'been', 'week', 'and', 'im', 'about', 'as', 'fit', 'as', 'walrus', 'on', 'vacation', 'for', 'the', 'summer'];['jest', 'feel', 'grumpy', 'tired', 'and', 'pre', 'menstrual', 'which', 'probably', 'am', 'but', 'then', 'again', 'its', 'only', 'been', 'week', 'and', 'im', 'about', 'as', 'fit', 'as', 'walrus', 'on', 'vacation', 'for', 'the', 'summer'];jest feel grumpy tired and pre menstrual which probably am but then again its only been week and im about as fit as walrus on vacation for the summer
