;Unnamed: 0;text;step1;tokens;final_tokens;step2;finalText_str;ProcessedText
0;0;im feeling rather rotten so im not very ambitious right now;im feeling rather rotten so im not very ambitious right now;['im', 'feeling', 'rather', 'rotten', 'so', 'im', 'not', 'very', 'ambitious', 'right', 'now'];['im', 'feeling', 'rather', 'rotten', 'so', 'im', 'not', 'very', 'ambitious', 'right', 'now'];im feeling rather rotten so im not very ambitious right now;im feeling rather rotten so im not very ambitious right now;feeling rather rotten so not very ambitious right now
1;1;im updating my blog because i feel shitty;im updating my blog because feel shitty;['im', 'updating', 'my', 'blog', 'because', 'feel', 'shitty'];['im', 'updating', 'my', 'blog', 'because', 'feel', 'shitty'];im updating my blog because feel shitty;im updating my blog because feel shitty;updating my blog because feel shitty
2;2;i never make her separate from me because i don t ever want her to feel like i m ashamed with her;never make her separate from me because don ever want her to feel like ashamed with her;['never', 'make', 'her', 'separate', 'from', 'me', 'because', 'don', 'ever', 'want', 'her', 'to', 'feel', 'like', 'ashamed', 'with', 'her'];['never', 'make', 'her', 'separate', 'from', 'me', 'because', 'don', 'ever', 'want', 'her', 'to', 'feel', 'like', 'ashamed', 'with', 'her'];never make her separate from me because don ever want her to feel like ashamed with her;never make her separate from me because don ever want her to feel like ashamed with her;never make her separate from me because don ever want her feel like ashamed with her
3;3;i left with my bouquet of red and yellow tulips under my arm feeling slightly more optimistic than when i arrived;left with my bouquet of red and yellow tulips under my arm feeling slightly more optimistic than when arrived;['left', 'with', 'my', 'bouquet', 'of', 'red', 'and', 'yellow', 'tulips', 'under', 'my', 'arm', 'feeling', 'slightly', 'more', 'optimistic', 'than', 'when', 'arrived'];['left', 'with', 'my', 'bouquet', 'of', 'red', 'and', 'yellow', 'tulips', 'under', 'my', 'arm', 'feeling', 'slightly', 'more', 'optimistic', 'than', 'when', 'arrived'];left with my bouquet of red and yellow tulips under my arm feeling slightly more optimistic than when arrived;left with my bouquet of red and yellow tulips under my arm feeling slightly more optimistic than when arrived;left with my bouquet of red yellow tulips under my arm feeling slightly more optimistic than when arrived
4;4;i was feeling a little vain when i did this one;was feeling little vain when did this one;['was', 'feeling', 'little', 'vain', 'when', 'did', 'this', 'one'];['was', 'feeling', 'little', 'vain', 'when', 'did', 'this', 'one'];was feeling little vain when did this one;was feeling little vain when did this one;was feeling little vain when this one
5;5;i cant walk into a shop anywhere where i do not feel uncomfortable;cant walk into shop anywhere where do not feel uncomfortable;['cant', 'walk', 'into', 'shop', 'anywhere', 'where', 'do', 'not', 'feel', 'uncomfortable'];['cant', 'walk', 'into', 'shop', 'anywhere', 'where', 'do', 'not', 'feel', 'uncomfortable'];cant walk into shop anywhere where do not feel uncomfortable;cant walk into shop anywhere where do not feel uncomfortable;cant walk into shop anywhere where do not feel uncomfortable
6;6;i felt anger when at the end of a telephone call;felt anger when at the end of telephone call;['felt', 'anger', 'when', 'at', 'the', 'end', 'of', 'telephone', 'call'];['felt', 'anger', 'when', 'at', 'the', 'end', 'of', 'telephone', 'call'];felt anger when at the end of telephone call;felt anger when at the end of telephone call;felt anger when at the end of telephone call
7;7;i explain why i clung to a relationship with a boy who was in many ways immature and uncommitted despite the excitement i should have been feeling for getting accepted into the masters program at the university of virginia;why clung to relationship with boy who was in many ways immature and uncommitted despite the should have been feeling for getting accepted into the masters program at the university of virginia;['why', 'clung', 'to', 'relationship', 'with', 'boy', 'who', 'was', 'in', 'many', 'ways', 'immature', 'and', 'uncommitted', 'despite', 'the', 'should', 'have', 'been', 'feeling', 'for', 'getting', 'accepted', 'into', 'the', 'masters', 'program', 'at', 'the', 'university', 'of', 'virginia'];['why', 'clung', 'to', 'relationship', 'with', 'boy', 'who', 'was', 'in', 'many', 'ways', 'immature', 'and', 'uncommitted', 'despite', 'the', 'should', 'have', 'been', 'feeling', 'for', 'getting', 'accepted', 'into', 'the', 'masters', 'program', 'at', 'the', 'university', 'of', 'virginia'];why clung to relationship with boy who was in many ways immature and uncommitted despite the should have been feeling for getting accepted into the masters program at the university of virginia;why clung to relationship with boy who was in many ways immature and uncommitted despite the should have been feeling for getting accepted into the masters program at the university of virginia;why clung relationship with boy who was in many ways immature uncommitted despite the should have been feeling for getting accepted into the masters program at the university of virginia
8;8;i like to have the same breathless feeling as a reader eager to see what will happen next;like to have the same breathless feeling as reader eager to see what will happen ne;['like', 'to', 'have', 'the', 'same', 'breathless', 'feeling', 'as', 'reader', 'eager', 'to', 'see', 'what', 'will', 'happen', 'ne'];['like', 'to', 'have', 'the', 'same', 'breathless', 'feeling', 'as', 'reader', 'eager', 'to', 'see', 'what', 'will', 'happen', 'ne'];like to have the same breathless feeling as reader eager to see what will happen ne;like to have the same breathless feeling as reader eager to see what will happen ne;like have the same breathless feeling as reader eager see what will happen ne
9;9;i jest i feel grumpy tired and pre menstrual which i probably am but then again its only been a week and im about as fit as a walrus on vacation for the summer;jest feel grumpy tired and pre menstrual which probably am but then again its only been week and im about as fit as walrus on vacation for the summer;['jest', 'feel', 'grumpy', 'tired', 'and', 'pre', 'menstrual', 'which', 'probably', 'am', 'but', 'then', 'again', 'its', 'only', 'been', 'week', 'and', 'im', 'about', 'as', 'fit', 'as', 'walrus', 'on', 'vacation', 'for', 'the', 'summer'];['jest', 'feel', 'grumpy', 'tired', 'and', 'pre', 'menstrual', 'which', 'probably', 'am', 'but', 'then', 'again', 'its', 'only', 'been', 'week', 'and', 'im', 'about', 'as', 'fit', 'as', 'walrus', 'on', 'vacation', 'for', 'the', 'summer'];jest feel grumpy tired and pre menstrual which probably am but then again its only been week and im about as fit as walrus on vacation for the summer;jest feel grumpy tired and pre menstrual which probably am but then again its only been week and im about as fit as walrus on vacation for the summer;jest feel grumpy tired pre menstrual which probably am but then again its only been week im about as fit as walrus on vacation for the summer
10;10;i don t feel particularly agitated;don feel particularly agitated;['don', 'feel', 'particularly', 'agitated'];['don', 'feel', 'particularly', 'agitated'];don feel particularly agitated;don feel particularly agitated;don feel particularly agitated
11;11;i feel beautifully emotional knowing that these women of whom i knew just a handful were holding me and my baba on our journey;feel beautifully emotional knowing that these women of whom knew just handful were holding me and my baba on our journey;['feel', 'beautifully', 'emotional', 'knowing', 'that', 'these', 'women', 'of', 'whom', 'knew', 'just', 'handful', 'were', 'holding', 'me', 'and', 'my', 'baba', 'on', 'our', 'journey'];['feel', 'beautifully', 'emotional', 'knowing', 'that', 'these', 'women', 'of', 'whom', 'knew', 'just', 'handful', 'were', 'holding', 'me', 'and', 'my', 'baba', 'on', 'our', 'journey'];feel beautifully emotional knowing that these women of whom knew just handful were holding me and my baba on our journey;feel beautifully emotional knowing that these women of whom knew just handful were holding me and my baba on our journey;feel beautifully emotional knowing that these women of whom knew just handful were holding me my baba on our journey
12;12;i pay attention it deepens into a feeling of being invaded and helpless;pay attention it deepens into feeling of being invaded and helpless;['pay', 'attention', 'it', 'deepens', 'into', 'feeling', 'of', 'being', 'invaded', 'and', 'helpless'];['pay', 'attention', 'it', 'deepens', 'into', 'feeling', 'of', 'being', 'invaded', 'and', 'helpless'];pay attention it deepens into feeling of being invaded and helpless;pay attention it deepens into feeling of being invaded and helpless;pay attention it deepens into feeling of being invaded helpless
13;13;i just feel extremely comfortable with the group of people that i dont even need to hide myself;just feel comfortable with the group of people that dont even need to hide myself;['just', 'feel', 'comfortable', 'with', 'the', 'group', 'of', 'people', 'that', 'dont', 'even', 'need', 'to', 'hide', 'myself'];['just', 'feel', 'comfortable', 'with', 'the', 'group', 'of', 'people', 'that', 'dont', 'even', 'need', 'to', 'hide', 'myself'];just feel comfortable with the group of people that dont even need to hide myself;just feel comfortable with the group of people that dont even need to hide myself;just feel comfortable with the group of people that dont even need hide myself
14;14;i find myself in the odd position of feeling supportive of;find myself in the odd position of feeling supportive of;['find', 'myself', 'in', 'the', 'odd', 'position', 'of', 'feeling', 'supportive', 'of'];['find', 'myself', 'in', 'the', 'odd', 'position', 'of', 'feeling', 'supportive', 'of'];find myself in the odd position of feeling supportive of;find myself in the odd position of feeling supportive of;find myself in the odd position of feeling supportive of
15;15;i was feeling as heartbroken as im sure katniss was;was feeling as heartbroken as im sure katniss was;['was', 'feeling', 'as', 'heartbroken', 'as', 'im', 'sure', 'katniss', 'was'];['was', 'feeling', 'as', 'heartbroken', 'as', 'im', 'sure', 'katniss', 'was'];was feeling as heartbroken as im sure katniss was;was feeling as heartbroken as im sure katniss was;was feeling as heartbroken as sure katniss was
16;16;i feel a little mellow today;feel little mellow today;['feel', 'little', 'mellow', 'today'];['feel', 'little', 'mellow', 'today'];feel little mellow today;feel little mellow today;feel little mellow today
17;17;i feel like my only role now would be to tear your sails with my pessimism and discontent;feel like my only role now would be to tear your sails with my pessimism and discontent;['feel', 'like', 'my', 'only', 'role', 'now', 'would', 'be', 'to', 'tear', 'your', 'sails', 'with', 'my', 'pessimism', 'and', 'discontent'];['feel', 'like', 'my', 'only', 'role', 'now', 'would', 'be', 'to', 'tear', 'your', 'sails', 'with', 'my', 'pessimism', 'and', 'discontent'];feel like my only role now would be to tear your sails with my pessimism and discontent;feel like my only role now would be to tear your sails with my pessimism and discontent;feel like my only role now would be tear your sails with my pessimism discontent
18;18;i feel just bcoz a fight we get mad to each other n u wanna make a publicity n let the world knows about our fight;feel just bcoz fight we get mad to each other wanna make publicity let the world knows about our fight;['feel', 'just', 'bcoz', 'fight', 'we', 'get', 'mad', 'to', 'each', 'other', 'wan', 'na', 'make', 'publicity', 'let', 'the', 'world', 'knows', 'about', 'our', 'fight'];['feel', 'just', 'bcoz', 'fight', 'we', 'get', 'mad', 'to', 'each', 'other', 'wan', 'na', 'make', 'publicity', 'let', 'the', 'world', 'knows', 'about', 'our', 'fight'];feel just bcoz fight we get mad to each other wan na make publicity let the world knows about our fight;feel just bcoz fight we get mad to each other wan na make publicity let the world knows about our fight;feel just bcoz fight we get mad each other wan na make publicity let the world knows about our fight
19;19;i feel like reds and purples are just so rich and kind of perfect;feel like reds and purples are just so rich and kind of perfect;['feel', 'like', 'reds', 'and', 'purples', 'are', 'just', 'so', 'rich', 'and', 'kind', 'of', 'perfect'];['feel', 'like', 'reds', 'and', 'purples', 'are', 'just', 'so', 'rich', 'and', 'kind', 'of', 'perfect'];feel like reds and purples are just so rich and kind of perfect;feel like reds and purples are just so rich and kind of perfect;feel like reds purples are just so rich kind of perfect
